Title,Status,Tags,"Sign date","Sign year","Counterpart (original)","Counterpart ISO","Counterpart SPA","Counterpart ENG","Region SPA","Region ENG"
"Convenio sobre exposición de obras artísticas entre la República Argentina y la República de Chile",Vigente,"Arte
Cultura, Ciencia Y Técnica
Exposiciones",07/09/1904,1904,Chile,CHL,Chile,Chile,América,America
"Protocolo dando solución amistosa a los incidentes diplomáticos surgidos con motivo de la revolución en el Estado Oriental entre la República Argentina y la República Oriental del Uruguay",,"Amistad
Asuntos penales y ética
Relaciones diplomáticas
Relaciones exteriores
Seguridad
Solución de controversias",06/12/1904,1904,Uruguay,URY,Uruguay,Uruguay,América,America
"Convenio Telegráfico Argentino-Chileno",,"Comunicaciones
Servicios postales",22/12/1904,1904,Chile,CHL,Chile,Chile,América,America
"Convención Postal entre la República Argentina y la República de Bolivia","No está en vigor","Comunicaciones
Cooperación
Servicios postales",07/01/1905,1905,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Tratado relativo a la supresión de las loterías de caridad y beneficencia entre la República Argentina y la República Oriental del Uruguay",,"Asistencia judicial
Asuntos penales y ética
Cooperación",27/04/1905,1905,Uruguay,URY,Uruguay,Uruguay,América,America
"Tratado de Arbitraje General entre la República Argentina y los Estados Unidos del Brasil",Vigente,"Asistencia judicial
Cooperación
Relaciones exteriores
Solución de controversias",07/09/1905,1905,Brasil,BRA,Brasil,Brazil,América,America
"Convenio entre la República Argentina y la República del Paraguay designando una Comisión encargada de definir cual sea el brazo o canal principal del Río Pilcomayo",Vigente,"Comisión Mixta
Fronteras
Límites
Ríos Internacionales
Territorio
Transporte por agua",11/09/1905,1905,Paraguay,PRY,Paraguay,Paraguay,América,America
"Convenio sobre servicio de estafetas ambulantes entre la República Argentina y la República Oriental del Uruguay","No está en vigor","Buques
Servicios postales
Transporte por agua",01/01/1906,1906,Uruguay,URY,Uruguay,Uruguay,América,America
"Protocolo de prórroga para el canje de ratificaciones del Convenio sobre encomiendas postales del 7.1.1905 entre la República Argentina y la República de Bolivia.",Vigente,"Comunicaciones
Cooperación
Derecho de los Tratados
Servicios postales",04/01/1906,1906,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Convenio para la prolongación del Ferrocarril Central Norte a la frontera y estudios hasta Santa Cruz de la Sierra entre la República Argentina y la República de Bolivia.",,"Cooperación
Fronteras
Límites
Transporte",16/02/1906,1906,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Convenio entre la República Argentina y la Confederación Suiza para la Extradición de Criminales",Vigente,"Asistencia judicial
Asuntos penales y ética
Extradición",21/11/1906,1906,Suiza,CHE,Suiza,Switzerland,Europa,Europe
"Convenio modificatorio del art.1° del Convenio designando una Comisión encargada de definir cual sea el brazo o canal principal del Río Pilcomayo entre la República Argentina y la República del Paraguay",Vigente,"Comisión Mixta
Límites
Ríos Internacionales
Transporte por agua",01/02/1907,1907,Paraguay,PRY,Paraguay,Paraguay,América,America
"Convenio relativo a la falsificación de monedas entre la República Argentina y Chile","No está en vigor","Asuntos penales y ética
Economía
Finanzas
Ilícitos transnacionales",12/02/1907,1907,Chile,CHL,Chile,Chile,América,America
"Convenio sobre canje de publicaciones entre la República Argentina y Chile",Vigente,Publicaciones,12/02/1907,1907,Chile,CHL,Chile,Chile,América,America
"Convenio para el estudio de la línea férrea entre Tupiza y Potosí entre la República Argentina y la República de Bolivia.",Extinguido,"Cooperación
Fronteras
Transporte",18/05/1907,1907,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Tratado General de Arbitraje entre la República Argentina y el Rey de Italia",Vigente,"Arbitraje
Solución de controversias",18/09/1907,1907,Italia,ITA,Italia,Italy,Europa,Europe
"Protocolo adicional al Tratado General de Arbitraje del 18/09/1907 entre la República Argentina y el Rey de Italia",Vigente,"Arbitraje
Solución de controversias",12/10/1907,1907,Italia,ITA,Italia,Italy,Europa,Europe
"Acuerdo por canje de notas aclaratorias acerca del Convenio ferroviario del 18.5.1907 -modifica los arts. 1, 3 y 6-",Vigente,Transporte,17/01/1908,1908,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Convenio sobre el intercambio de ganado entre la República Argentina y la República del Paraguay",Vigente,"Agropecuario
Comercio
Ganadería
Libre circulación
Puertos
Salud animal",30/05/1908,1908,Paraguay,PRY,Paraguay,Paraguay,América,America
"Convenio sobre el Canje de Encomiendas Postales y Reglamentos de Ejecución (Convenio administrativo entre la Administración de Correos de la República Argentina y la Administración de Correos de Gran Bretaña)",Vigente,"Servicios postales",01/09/1908,1908,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Convenio de Arbitraje entre el gobierno de la República Argentina y el gobierno de los Estados Undos",,Arbitraje,23/12/1908,1908,"Estados Unidos de América",USA,"Estados Unidos","United States",América,America
"Convenio de Arbitraje entre la República Argentina y su Majestad del Rey de Portugal.",,Arbitraje,09/08/1909,1909,Portugal,PRT,Portugal,Portugal,Europa,Europe
"Tratado de Naturalización entre la República Argentina y los Estados Unidos de América","No está en vigor",Nacionalidad,09/08/1909,1909,"Estados Unidos de América",USA,"Estados Unidos","United States",América,America
"Protocolo sobre ceremonial con motivo de la conmemoración del centenario de ambos países en 1910",,,03/11/1909,1909,Chile,CHL,Chile,Chile,América,America
"Protocolo sobre la navegación y uso de las aguas del Río de la Plata entre la República Argentina y la República Oriental del Uruguay",Vigente,"Amistad
Recursos hídricos
Ríos Internacionales
Solución de controversias
Transporte por agua",05/01/1910,1910,Uruguay,URY,Uruguay,Uruguay,América,America
"Convenio sobre Legalización de Exhortos y Cartas Rogatorias entre la República Argentina y la República del Paraguay","Vigente con Modificaciones","Asistencia judicial
Derecho Internacional Privado
Derecho procesal
Legalizaciones",21/01/1910,1910,Paraguay,PRY,Paraguay,Paraguay,América,America
