D,H,V
11.9,13.7,0.084645
17.5,17,0.198181
20.7,18.1,0.276374
11.2,12.07,0.061813
37.9,20.92,1.081416
31.4,21.5,0.853778
19.2,16.76,0.240663
24.5,20.5,0.524874
21.8,15.7,0.291304
22,17.9,0.369669
22.7,19,0.340845
19.1,19.5,0.248696
38.3,21,1.121546
36.5,21.23,0.973573
39.5,23.89,1.34575
38.6,25.3,1.356121
34.4,25.34,1.074897
37.3,23.02,1.233539
25.7,19.63,0.432642
37.1,22.9,1.253085
39.3,24.87,1.470222
39.3,23.53,1.049452
26.6,22.7,0.53551
25.6,19.7,0.427476
39.1,25,1.454251
38.7,23.4,1.054696
34.1,25.2,1.055866
39.3,22.6,1.101152
39,22.02,1.107729
